water_source_clean,water_source_category,water_tech_clean,clean_adm1,clean_adm2,clean_adm3,status_clean,distance_to_primary,distance_to_secondary,distance_to_tertiary,distance_to_city,distance_to_town,local_population,served_population,crucialness,pressure,staleness_score,latitude,longitude,chirps_30_precipitation,ndvi_30_NDVI,lst_30_LST_Day_1km,pop_population,risk_score
Protected Well,Well,Motorized Pump - Electric,Kakamega,Khwisero,Kisa Central,Non-Functional,9183.615387949634,429.8411969045763,6642.740054394348,24850.73496713258,4452.0847894311,2712.0,251.0,0.092551622418879,0.8366666666666667,85.47244265543571,0.174668,34.554572,5.8042988777160645,0.7792,23.620000000000005,10.462027549743652,1
Protected Well,Well,Motorized Pump - Electric,Kakamega,Butere,Marama North,Non-Functional,9834.545268755326,3503.2821247059774,1517.239132387216,21670.55471390281,5409.694760788651,2245.0,124.0,0.0552338530066815,0.4133333333333333,93.27089144096396,0.22083,34.565483,5.864280700683594,0.77615,23.370000000000005,6.315442085266113,1
Protected Well,Well,Motorized Pump - Electric,Siaya,Alego Usonga,South East Alego,Non-Functional,12946.140250343971,399.8488152113533,5794.867044175745,48916.565807831015,6224.175722962272,2519.0,503.0,0.1996824136562127,1.6766666666666667,93.27089144096396,0.044235,34.339775,2.798804521560669,0.73455,24.350000000000023,5.745560646057129,3
Undefined Well,Well,Public Tapstand,Kakamega,Malava,Butali/Chegulo,"Non-Functional, dry season",24860.72749529318,20338.383953520424,4072.968359562325,25326.529082254987,14067.6033080141,2889.0,910.0,0.314987885081343,3.033333333333333,67.7752514743934,0.49716,34.831463,5.655031204223633,0.7433500000000001,23.435,7.758868217468262,2
Protected Well,Well,Public Tapstand,Kakamega,Ikolomani,Idakho South,"Functional, not in use",13949.830321005713,1275.3210259369978,1183.5240360156788,17849.90992530731,5190.395845140518,4065.0,369.0,0.0907749077490775,1.23,67.60455755734841,0.134735,34.687273,5.462062358856201,0.7788,23.325000000000045,9.620794296264648,2
Protected Well,Well,Motorized Pump - Electric,Migori,Suna East,Suna Central,Non-Functional,54931.19143578525,2352.724753845233,1124.2488575736286,55976.71003415379,3669.801605958807,1950.0,367.0,0.1882051282051282,1.2233333333333334,93.27089144096396,-1.090827,34.489136,2.46647310256958,0.7614000000000001,23.850000000000023,4.334624767303467,2
Borehole/Tubewell,Well,Public Tapstand,Makueni,Makueni,Mbitini,Non-Functional,13192.684883349046,11096.534927747209,11226.420707552628,55068.66631864396,12020.575345409445,819.0,629.0,0.7680097680097681,2.0966666666666667,67.88215396207407,-1.999089,37.405538,0.0909717828035354,0.4461,24.81,2.1081302165985107,2
Borehole/Tubewell,Well,Public Tapstand,Busia,Butula,Marachi Central,"Functional, not in use",4117.591064271109,477.7917972438967,4475.409701290246,22741.78843353559,4330.8436595294415,2727.0,162.0,0.0594059405940594,0.54,67.54065822962684,0.323085,34.235872,5.273308753967285,0.7778,24.450000000000045,6.740455150604248,2
Undefined Well,Well,Public Tapstand,Siaya,Gem,North Gem,"Functional, not in use",895.3686926624814,8849.220631829501,3585.5028122854205,38807.73320696769,6318.953065949133,1646.0,190.0,0.1154313487241798,0.6333333333333333,67.60455755734841,0.135091,34.433993,5.53131914138794,0.7478,24.450000000000045,3.47328519821167,1
Borehole/Tubewell,Well,Motorized Pump,Kiambu,Ruiru,Gitothua,Functional,3772.086876856843,765.5993058808596,61.09228129598332,16718.622931709993,1954.541893559644,11325.0,7429.0,0.6559823399558499,24.76333333333333,25.9225197751286,-1.129648,36.959087,0.7132768034934998,0.47505,24.37666666666672,5.474740028381348,2
