wpdx_id,lat_deg,lon_deg,report_date,status_clean,water_source_clean,water_tech_clean,management_clean,point_id,longitude,latitude,rainfall_30d_mm,DayOfYear,DetailedQA,EVI,NDVI,RelativeAzimuth,SolarZenith,SummaryQA,ViewZenith,sur_refl_b01,sur_refl_b02,sur_refl_b03,sur_refl_b07,lst_celsius,soil_moisture_am,soil_moisture_pm,pop_density
6GGP6H33+XC6,0.2049050718,34.5535256286,2014-08-27,Non-Functional,Protected Well,,,0,34.56268055649859,0.20212093892689234,255.81942558288574,220.5,2116.0,0.44705,0.6894,-49.410000000000004,28.585,0.0,7.905,0.05865,0.31935,0.028450000000000003,0.09965,25.92500000000001,,,5.452545642852783
6GHM2RQV+H3M,1.038959742,33.84267807,2012-08-06,Non-Functional,Borehole/Tubewell,,,1,33.84402832920297,1.0555204588404377,120.00141334533691,213.5,2187.0,0.39375000000000004,0.63795,-42.6,27.565,1.0,32.81,0.0629,0.28845000000000004,0.0325,0.14065,28.435000000000002,,,8.6503324508667
6GGP878W+5R5,0.3153889,34.297105,2015-05-21,Non-Functional,Protected Well,,,2,34.29318597126273,0.33686823154482054,324.448121547699,132.0,2116.0,0.47675,0.70785,60.74,28.85,0.0,14.870000000000001,0.05845,0.34055,0.02835,0.09955,28.085000000000036,0.4307655096054077,0.43829894065856934,4.682610988616943
6GHM6QH8+X79,1.229919434,33.76573181,2015-03-19,Non-Functional,Borehole/Tubewell,,,3,33.75419680079102,1.235183515664342,27.46334147453308,58.0,2116.0,0.1905,0.34700000000000003,168.695,26.55,0.0,6.905,0.11365,0.23445000000000002,0.04385,0.2538,42.235000000000014,,,3.8289413452148438
6HP374VQ+8W2,4.293253,41.139771,2020-05-14,Non-Functional,Protected Well,,Community Management,4,41.120382130571095,4.289455481670715,217.059166431427,127.5,18764.0,0.28200000000000003,0.51065,-137.04,22.675,1.0,18.400000000000002,0.0829,0.2577,0.02825,0.16005,28.636666666666713,0.2915913164615631,0.2505854368209839,0.03979536145925522
6GGPP6VQ+978,0.743416116,34.23819945,2015-04-14,Non-Functional,Borehole/Tubewell,,,5,34.248270207056756,0.7411101093986052,227.78090023994446,96.0,18576.5,0.32180000000000003,0.56435,-155.37,19.64,0.5,36.535000000000004,0.07005,0.2529,0.033350000000000005,0.16265000000000002,32.460000000000036,0.40060365200042725,0.34244993329048157,5.183019638061523
6GHM5PHX+563,1.177899599,33.74804306,2015-03-17,Non-Functional,Borehole/Tubewell,,,6,33.75419680079102,1.190267751458366,37.32189869880676,58.0,2116.0,0.18885000000000002,0.35455000000000003,165.775,26.55,0.0,6.8100000000000005,0.10690000000000001,0.224,0.04195,0.22335000000000002,41.150000000000034,,,5.376062393188477
6GHM5PMP+9R4,1.183377504,33.73708344,2015-03-19,Non-Functional,Borehole/Tubewell,,,7,33.75419680079102,1.190267751458366,37.32189869880676,58.0,2116.0,0.20185,0.36255000000000004,165.76500000000001,26.555,0.0,6.72,0.1072,0.2291,0.048350000000000004,0.23455,41.21500000000003,,,5.323901653289795
6GGPP7VX+G44,0.743751739,34.29782931,2015-04-14,Non-Functional,Borehole/Tubewell,,,8,34.29318597126273,0.7411101093986052,224.93259072303772,92.0,2248.0,0.25515,0.44035,-72.055,25.42,0.5,26.87,0.10310000000000001,0.25665,0.04875,0.23685,34.51000000000005,0.41669073700904846,0.3584572672843933,5.169506549835205
6GHM8Q3M+585,1.302892447,33.78334427,2015-03-16,Non-Functional,Borehole/Tubewell,,,9,33.799112564996996,1.3250150440762942,35.56759810447693,58.0,2116.0,0.20315,0.35005000000000003,166.12,26.57,0.0,6.915,0.11965,0.24855000000000002,0.050800000000000005,0.24475000000000002,40.14500000000004,,,4.033915042877197
