GEMS.Station.Number_Sample.Date,pH,NO2N,NO3N,TP,O2-Dis,NH4N,TEMP,EC
AUT00009_2021-02-01,8.0,0.002002743582,0.623578436832,0.008,12.7,0.00400047648,2.5,180.0
AUT00009_2021-03-01,8.1,0.002002743582,0.666549386806,0.01,13.5,0.00400047648,1.0,148.0
AUT00009_2021-04-06,8.0,0.002002743582,0.5995946508,0.007,12.3,0.00600071472,2.9,140.0
AUT00009_2021-05-03,8.0,0.002002743582,0.517650048524,0.018,12.3,0.00600071472,4.2,99.0
AUT00009_2021-06-01,7.8,0.002002743582,0.258825024262,0.021,11.7,0.0050005956,5.6,101.0
AUT00009_2021-07-05,7.9,0.003004115373,0.27981083704,0.021,10.3,0.00400047648,10.9,105.0
AUT00009_2021-08-02,7.8,0.002002743582,0.302795298654,0.022,10.4,0.00600071472,10.4,100.0
AUT00009_2021-09-01,8.1,0.002002743582,0.383740576512,0.007,10.9,0.0050005956,9.4,140.0
AUT00009_2021-10-04,8.0,0.002002743582,0.490668289238,0.005,10.7,0.00800095296,9.2,174.0
AUT00009_2021-11-02,7.9,0.003004115373,0.433706797412,0.035,11.4,0.00400047648,5.7,128.0
AUT00009_2021-12-01,8.0,0.002002743582,0.521647346196,0.005,13.2,0.00700083384,1.6,162.0
AUT00040_2021-01-19,8.5,0.005697805491,0.713137891173,0.00496,13.4,0.021742589669,1.3,268.0
AUT00040_2021-02-10,8.4,0.005637723183,0.858969303492,0.0152,12.4,0.018792238265,4.4,255.0
AUT00040_2021-03-18,7.5,0.006769273307,0.792594175648,0.00871,12.5,0.039604717152,4.5,248.0
AUT00040_2021-04-20,8.4,0.006068313053,0.752411340801,0.00851,11.4,0.017862127483,6.7,224.0
AUT00040_2021-05-10,8.4,0.004205761522,0.225747386026,0.00991,10.8,0.012731516398,10.9,146.0
AUT00040_2021-06-22,8.6,0.006679149846,0.579038547522,0.01063,9.3,0.02050244196,15.4,220.0
AUT00040_2021-07-20,8.0,0.010274074576,0.686046206201,0.00825,9.4,0.014441720093,14.3,217.0
AUT00040_2021-08-24,8.0,0.007530315868,0.656246352056,0.01357,10.4,0.012971544986,12.6,199.0
AUT00040_2021-09-21,8.4,0.008441564198,0.762124774144,0.01128,10.8,0.00800095296,10.2,210.0
AUT00040_2021-10-13,8.4,0.006859396768,0.738870494937,0.00982,11.2,0.007770925562,8.0,229.0
AUT00040_2021-11-16,8.3,0.007119753434,0.768220653093,0.05286,11.9,0.01233146875,7.2,228.0
AUT00040_2021-12-14,8.4,0.008792044325,0.870931216775,0.01295,12.3,0.009191094713,4.7,229.0
AUT00057_2014-01-07,8.2,0.052,2.063,0.056,12.5,0.061,5.1,312.0
AUT00057_2014-01-20,8.1,0.037,2.169,0.021,13.7,0.036,5.2,337.0
AUT00057_2014-02-04,8.3,0.028,2.361,0.018,12.7,0.034,3.4,347.0
AUT00057_2014-02-19,8.3,0.038,2.533,0.033,12.3,0.056,4.6,343.0
AUT00057_2014-03-03,8.0,0.044,2.839,0.025,11.7,0.06,6.0,349.0
AUT00057_2014-03-17,8.1,0.034,2.498,0.024,11.8,0.028,7.3,329.0
AUT00057_2014-03-31,8.1,0.023,1.978,0.02,11.7,0.03,7.8,292.0
AUT00057_2014-04-14,8.2,0.015,1.638,0.03,11.2,0.023,8.9,255.0
AUT00057_2014-05-05,8.2,0.013,1.456,0.022,10.6,0.019,11.0,225.0
AUT00057_2014-05-19,8.1,0.017,1.665,0.028,10.8,0.023,9.8,232.0
AUT00057_2014-06-02,8.1,0.017,1.335,0.027,10.5,0.017,12.2,205.0
AUT00057_2014-06-16,8.0,0.017,1.096,0.053,10.4,0.027,15.0,182.0
AUT00057_2014-07-01,8.1,0.017,1.337,0.036,9.5,0.031,14.3,210.0
AUT00057_2014-07-14,8.0,0.016,1.216,0.021,9.1,0.026,15.8,221.0
AUT00057_2014-08-04,8.1,0.023,1.241,0.025,9.6,0.016,18.1,242.0
AUT00057_2014-08-18,8.0,0.029,1.136,0.074,10.0,0.062,14.6,210.0
AUT00057_2014-09-01,8.1,0.017,1.295,0.091,10.7,0.012,15.0,257.0
AUT00057_2014-09-15,8.2,0.02,1.422,0.086,11.6,0.03,13.0,248.0
AUT00057_2014-10-01,8.1,0.016,1.627,0.019,9.9,0.014,13.5,289.0
AUT00057_2014-10-20,8.0,0.018,1.714,0.017,9.8,0.014,13.4,311.0
AUT00057_2014-11-03,8.3,0.025,2.128,0.017,10.9,0.022,9.1,325.0
AUT00057_2014-11-17,8.1,0.017,1.51,0.041,11.3,0.028,9.1,251.0
AUT00057_2014-12-01,8.4,0.014,1.903,0.021,11.6,0.023,6.5,283.0
AUT00057_2014-12-15,8.3,0.017,2.03,0.02,11.9,0.026,5.2,300.0
AUT00057_2021-01-12,8.3,0.007009602537,0.892396705274,0.018,12.8,0.01900226328,1.3,418.0
AUT00057_2021-01-18,8.1,0.005006858955,0.92437508665,0.009,13.4,0.01700202504,0.7,332.0
AUT00057_2021-02-01,8.2,0.005006858955,0.8993919762,0.017,12.6,0.03300393096,2.9,344.0
