DayOfYear,DetailedQA,EVI,NDVI,RelativeAzimuth,SolarZenith,SummaryQA,ViewZenith,sur_refl_b01,sur_refl_b02,sur_refl_b03,sur_refl_b07
35,2116,1626,2988,-3024,3461,0,117,1220,2234,519,2650
35,2116,1489,3511,15990,3278,0,764,766,1592,309,1293
45,2116,946,1838,15587,3417,0,915,1277,1849,582,2172
40,2116,2421,4382,13442,3424,0,397,909,2327,416,1893
37,2185,1016,1670,6121,3525,1,1188,2400,3357,553,4688
35,2116,1190,2452,13626,3232,0,1194,1151,1886,411,2009
35,2116,2689,4674,16083,3286,0,1125,947,2596,387,1744
35,2116,1648,2838,16020,3108,0,2547,1418,2538,539,2553
42,2116,892,1564,5741,3536,0,956,1666,2282,673,2435
33,2120,1606,3106,2380,3270,1,1691,1113,2107,449,2037
35,2116,1529,2811,-486,3410,0,157,1226,2170,542,2448
35,2116,2852,4962,15827,3321,0,723,904,2668,343,1864
35,2116,1861,3406,-1865,3478,0,734,1096,2197,516,2345
42,2062,2147,3340,9530,3163,3,3929,1374,2620,894,2065
33,2185,1229,2739,15006,3495,1,550,927,1625,396,1629
40,2185,1401,3189,14750,3344,1,995,838,1616,365,1720
42,2185,976,1229,1068,3602,1,1641,2730,3492,1377,3910
35,2116,2030,3645,15902,2917,0,3903,1165,2450,460,2095
37,2116,1248,2214,6587,3421,0,1284,1617,2534,511,3207
33,2185,1217,2722,15682,3510,1,604,908,1582,425,1600
33,2120,1471,3427,15528,2890,1,4689,783,1600,322,1625
35,2116,1166,2083,5694,3524,0,829,1590,2430,541,2880
37,2116,981,1524,1463,3612,0,2399,2120,2882,829,3604
47,2185,1507,2994,12689,3217,1,2737,1042,1920,482,1611
42,2116,2310,3723,11687,3220,0,1567,1120,2442,645,1827
35,2116,1202,1841,15502,3424,0,333,1909,2766,845,2922
40,2185,470,963,7586,3476,1,832,1284,1560,624,1356
35,2116,1364,2822,9877,3528,0,852,1034,1844,429,2503
35,2116,1309,2264,15967,3167,0,2185,1402,2219,671,2731
44,4233,2758,3904,-1396,3612,1,2865,1555,3511,613,2260
35,2116,1826,3361,-1270,3505,0,479,1158,2311,449,2462
42,2116,735,1056,-1965,3515,0,868,2541,3143,1068,3265
47,2185,1699,2660,10908,3416,1,812,1460,2505,741,2111
42,2116,1148,2315,3195,3520,0,933,1418,2271,296,3170
35,2116,4448,7903,-2063,3493,0,693,314,2681,173,526
35,2116,4496,6527,-2022,3572,0,1730,733,3485,341,1480
35,2116,749,1358,1987,3578,0,412,1627,2139,648,2206
40,2116,2222,3899,16815,3364,0,188,1029,2334,505,2025
47,2185,537,818,3614,3415,1,808,1996,2373,1000,2239
40,2185,919,1331,-591,3538,1,1089,2380,3110,999,3982
39,3098,3291,4504,5777,3409,3,3277,1362,3281,1134,1439
44,2116,1531,2946,13417,2932,0,4296,1250,2270,422,2475
33,2116,3277,5880,2441,3303,0,970,642,2465,318,1550
42,2185,1444,2222,16153,3276,1,1193,1831,2874,768,3287
33,2116,1723,3386,15041,3594,0,377,978,1974,451,1786
42,2116,1243,2179,15993,3227,0,1624,1548,2409,583,3066
47,2185,905,1306,16191,3096,1,2483,2081,2706,1058,3192
33,2120,1442,2482,15445,2865,1,4917,1466,2427,603,2884
42,2116,1300,2598,8581,3540,0,1082,1247,2119,378,2491
42,2185,2811,4561,34,3540,1,1492,1061,2820,476,2392
42,2185,1241,2193,10557,3493,1,1082,1601,2483,572,3121
33,2116,3390,6166,15548,3348,0,1289,594,2492,270,1219
42,2257,1431,2291,13068,3250,1,2556,1837,2921,669,3295
47,2116,1049,1806,-2053,3539,0,617,1715,2466,646,3663
33,2189,1232,1862,9016,3179,1,4232,2213,3197,868,3278
35,2116,4714,6774,-2003,3568,0,1694,683,3549,324,1368
33,2116,2710,5120,12626,3346,0,1490,762,2341,314,1536
33,2189,2700,5438,15537,2720,1,5427,624,2116,272,1229
35,2116,1055,1600,-2302,3590,0,656,2198,3034,857,3661
37,2116,1110,1950,3229,3538,0,1058,1956,2900,447,3880
44,2116,1254,1872,673,3553,0,3341,2549,3710,775,4162
35,2116,1980,3400,8081,3395,0,104,1198,2416,545,2212
42,2185,1385,2442,5235,3471,1,720,1519,2490,535,3140
44,2185,1448,2327,12907,2972,1,4826,1727,2765,685,3042
47,2116,1649,3076,-425,3498,0,331,1152,2163,493,2159
33,2450,1965,3158,14826,2900,3,4034,1456,2728,766,2702
42,2116,1233,1938,16002,3215,0,1865,1946,2881,746,3559
37,2116,2021,3353,6033,3121,0,2581,1238,2429,668,2383
35,2116,1806,3251,15684,2895,0,4289,1136,2224,527,1996
37,2116,3890,7130,7184,2922,0,4045,424,2518,214,692
35,2116,1005,1672,13428,3411,0,1277,1790,2508,718,2977
40,2116,2866,5240,16043,3361,0,202,731,2333,365,1431
47,2116,895,1201,3204,3488,0,1049,2650,3372,1211,4108
42,2116,1251,1859,15277,3270,0,1610,1783,2596,938,3011
33,2189,2245,3697,11862,2886,1,4493,1142,2422,645,2101
35,2116,5202,8029,15613,3381,0,670,358,3274,188,629
40,2116,1893,3528,-1911,3475,0,270,1051,2181,472,2216
35,2116,3820,5579,-1801,3573,0,1865,909,3194,484,1831
35,2116,2131,3570,15938,2818,0,4418,1284,2682,520,2373
45,2116,1078,2537,13801,3301,0,1719,893,1497,381,1525
35,2116,1648,2563,15234,3173,0,2533,1680,2835,717,2962
40,2116,4219,7856,10033,3356,0,1213,296,2467,190,586
35,2116,1622,2942,16768,3354,0,216,1298,2357,494,2705
40,2185,3845,6326,566,3359,1,928,634,2814,328,1284
35,2116,1851,3309,-2163,3544,0,692,1209,2380,503,2411
35,4164,1611,2530,15982,3111,0,1999,1819,2862,965,1951
35,2116,2184,4232,16046,3183,0,1891,902,2228,329,1680
42,2189,3298,5107,250,3662,1,2982,1026,3147,426,2027
40,2185,2862,5005,-1551,3432,1,406,856,2568,365,1846
35,2116,2161,3723,15911,3339,0,752,1186,2558,490,2485
35,2116,2466,4299,16091,3054,0,2928,1009,2502,443,1771
40,2116,2173,3967,-1448,3447,0,305,981,2286,423,1955
35,2116,1598,2999,-1846,3474,0,958,1157,2095,561,2399
45,2116,923,1407,15643,3290,0,1772,1990,2639,930,3090
42,2116,1348,1930,11492,3338,0,1363,1905,2813,986,3065
35,2116,928,1645,14291,3401,0,1437,1896,2641,525,3290
45,2185,478,1082,15608,3232,1,2455,1084,1347,549,1191
47,2116,679,1082,-1713,3531,0,920,1834,2287,918,2461
33,2120,1083,1580,974,3536,0,2133,2444,3360,921,3850
35,6281,1187,3370,2854,3557,1,2114,366,929,281,158
33,2120,1227,2117,13512,2959,1,4777,1655,2508,628,2743
33,2116,1290,2762,15748,3440,0,750,972,1708,439,1753
33,2189,3138,5632,15529,2767,1,5115,702,2472,362,1151
35,2116,1084,2009,8350,3439,0,968,1505,2260,521,2621
