entry_id,country,source_title,excerpt,geo_location,water_source,sanitation_type,sector,gender,age_group,income_level,infrastructure_type,population_density,climate_zone,year,organization,source_type,special_needs_group,severity,water_color,water_clarity,water_odor,recent_rain,nearby_activities,nearby_infrastructure,vegetation_near_source,waste_disposal_nearby,animal_access,water_flow_rate
81a69ab1-6070-4643-ab31-062dabbe355d,Haiti,Skill may certainly off sing.,Health inspectors on site found that improper disposal of greywater has compounded the risk of disease outbreaks. Resource allocation should prioritize rehabilitation of water systems and proper drainage.,5.9371995,River,Open Defecation,Health,Female,Youth,High,Peri-Urban,Medium,Tropical,2023,Water.org,Gov Report,Children Under 5,Unsafe,clear,clear,chemical,no,farming,waste facilities,lush,managed sites,no,slow
e4774c0e-38ca-48bc-a62d-56ad7dc2ebf1,Ethiopia,Cup movie than fund artist.,The latest sanitation review indicated that improper disposal of greywater has compounded the risk of disease outbreaks. Urgent interventions are recommended to mitigate the spread of waterborne diseases.,34.6152155,Borehole,Composting Toilet,Public Infrastructure,Male,Youth,High,Peri-Urban,Dense,Semi-Arid,2020,Save the Children,Field Survey,None,Unsafe,murky,turbid,sewage,yes,farming,waste facilities,sparse,none,yes,stagnant
ed103eee-2e27-4be4-b6fe-59e1b095a507,Nepal,Note Congress day million everybody environmental.,"According to recent field observations, waste management systems are severely underdeveloped in these settlements. Local authorities are urged to scale up hygiene education campaigns.",-68.3872445,Truck Delivery,Pit Latrine,Health,Female,Adult,Low,Urban Slum,Dense,Semi-Arid,2016,WHO,Gov Report,Elderly,Unsafe,green,clear,sewage,no,mining,waste facilities,dead,managed sites,yes,flowing
4d8e529d-08cd-428b-b4a8-e4c4cbadeb33,India,Summer today southern.,"The latest sanitation review indicated that efforts to distribute water purification tablets have been inconsistent and poorly coordinated. Without immediate action, the risk to vulnerable groups remains elevated.",-71.814776,Rainwater,Composting Toilet,Education,Male,Elderly,High,Refugee Camp,Medium,Arid,2022,Red Cross,Academic Paper,Children Under 5,Unsafe,brown,turbid,sewage,no,mining,sewage lines,dead,managed sites,yes,slow
8396148f-36a8-4ee9-af7f-653b8d06aa9c,Kenya,Region sea nation fast shake born.,A comprehensive report issued by the agency noted that improper disposal of greywater has compounded the risk of disease outbreaks. Local authorities are urged to scale up hygiene education campaigns.,-10.132914,Borehole,Composting Toilet,Public Infrastructure,Female,Youth,Low,Peri-Urban,Sparse,Tropical,2015,Red Cross,Academic Paper,Disabled,Unsafe,murky,cloudy,none,no,none,waste facilities,lush,open dumping,no,stagnant
61cdeddd-7cab-484f-b816-483a50a45b1b,Nigeria,Begin by career effort PM office fly.,"The latest sanitation review indicated that untreated sewage has leaked into open water channels, raising contamination risks. Resource allocation should prioritize rehabilitation of water systems and proper drainage.",31.5586825,Borehole,Flush Toilet,Education,Male,Adult,High,Refugee Camp,Dense,Temperate,2017,Water.org,NGO Report,None,Unsafe,green,clear,sewage,yes,none,none,dead,none,no,slow
2b27c20c-058e-4985-aa60-d7fceb43d538,Kenya,Up ability every believe western thank.,Water availability remains a key concern where waste management systems are severely underdeveloped in these settlements. Resource allocation should prioritize rehabilitation of water systems and proper drainage.,65.0745425,Truck Delivery,Composting Toilet,Education,Male,Child,High,Urban Slum,Sparse,Arid,2022,Red Cross,Academic Paper,Disabled,Unsafe,green,turbid,none,yes,sewage treatment,waste facilities,dead,open dumping,no,slow
a7f44054-4c59-455c-ae9d-15437727de8a,India,Democrat it for agree for face six.,"According to recent field observations, access to potable water is limited to a few hours each day, with unreliable quality. Without immediate action, the risk to vulnerable groups remains elevated.",39.8694465,Well,Flush Toilet,Agriculture,Male,Elderly,Middle,Refugee Camp,Medium,Arid,2022,UNICEF,Field Survey,Elderly,Unsafe,clear,cloudy,none,no,mining,none,dead,managed sites,no,stagnant
55adfc98-f409-463c-9b03-5b0b2dc26734,Bangladesh,Trip white husband decade worker within me.,"According to joint analysis from stakeholders, access to potable water is limited to a few hours each day, with unreliable quality. Urgent interventions are recommended to mitigate the spread of waterborne diseases.",-0.688263,Protected Spring,Open Defecation,Agriculture,Male,Youth,Low,Peri-Urban,Medium,Semi-Arid,2025,Water.org,Academic Paper,Disabled,Unsafe,green,turbid,chemical,no,farming,sewage lines,sparse,managed sites,yes,slow
b3982302-9ed3-4929-b270-923c78e60900,India,Blood sing official open respond.,"Field workers have documented that access to potable water is limited to a few hours each day, with unreliable quality. Local authorities are urged to scale up hygiene education campaigns.",8.592403,Well,Flush Toilet,Public Infrastructure,Male,Elderly,Low,Rural Village,Sparse,Arid,2018,Red Cross,Gov Report,Pregnant Women,Unsafe,murky,turbid,chemical,no,none,waste facilities,sparse,none,no,slow
d9c68549-b003-4887-bc7c-1cad6a125e93,Nepal,Year nation college memory.,"Field workers have documented that access to potable water is limited to a few hours each day, with unreliable quality. Local authorities are urged to scale up hygiene education campaigns.",-86.110949,Protected Spring,Flush Toilet,Education,Male,Youth,Low,Peri-Urban,Sparse,Arid,2016,UNICEF,Academic Paper,Children Under 5,Safe,clear,clear,none,no,none,none,lush,none,no,flowing
7ae433f6-3fee-487e-9c59-413eee1261c3,Ethiopia,Exist good list perform station prove.,"Water availability remains a key concern where efforts to distribute water purification tablets have been inconsistent and poorly coordinated. Without immediate action, the risk to vulnerable groups remains elevated.",-67.023923,Protected Spring,Composting Toilet,Public Infrastructure,Female,Elderly,High,Refugee Camp,Medium,Temperate,2019,Water.org,Academic Paper,None,Unsafe,brown,turbid,none,no,sewage treatment,none,sparse,none,yes,slow
73d0fc72-0794-4fbc-913a-9a0e203445bf,India,South land majority bill network.,Field workers have documented that waste management systems are severely underdeveloped in these settlements. Urgent interventions are recommended to mitigate the spread of waterborne diseases.,-3.525955,Borehole,Pit Latrine,Agriculture,Male,Elderly,Low,Urban Slum,Dense,Temperate,2025,Save the Children,NGO Report,Elderly,Unsafe,clear,cloudy,none,no,mining,sewage lines,dead,none,no,stagnant
ae8eea33-33e3-4776-8d2b-f56fb62185e6,Nepal,Cover week should edge.,A comprehensive report issued by the agency noted that groundwater levels have dropped significantly due to prolonged drought conditions. Urgent interventions are recommended to mitigate the spread of waterborne diseases.,51.5809505,Piped Water,Open Defecation,Education,Male,Youth,Middle,Refugee Camp,Sparse,Semi-Arid,2025,Red Cross,Academic Paper,Children Under 5,Unsafe,green,turbid,sewage,no,farming,waste facilities,sparse,open dumping,no,flowing
b775a725-dafc-495c-9776-a3afed665355,Kenya,Worry own two capital.,"A comprehensive report issued by the agency noted that untreated sewage has leaked into open water channels, raising contamination risks. Infrastructure upgrades are necessary to ensure consistent clean water delivery.",28.217536,Well,Open Defecation,Health,Female,Adult,High,Refugee Camp,Medium,Temperate,2016,Save the Children,NGO Report,Elderly,Unsafe,murky,cloudy,chemical,no,farming,sewage lines,sparse,open dumping,yes,stagnant
3abed78f-3291-40a8-8a29-e0526b150073,DR Congo,Hundred kid move blue business push son activity.,"A comprehensive report issued by the agency noted that improper disposal of greywater has compounded the risk of disease outbreaks. Without immediate action, the risk to vulnerable groups remains elevated.",-82.371103,Rainwater,Open Defecation,Public Infrastructure,Female,Elderly,High,Refugee Camp,Sparse,Semi-Arid,2019,WHO,Academic Paper,Elderly,Unsafe,clear,clear,chemical,no,farming,waste facilities,lush,none,no,flowing
f3b8e6e3-4e5b-4c32-acc7-270478646519,Nepal,Start any book score issue office fall.,"Field workers have documented that access to potable water is limited to a few hours each day, with unreliable quality. Urgent interventions are recommended to mitigate the spread of waterborne diseases.",-3.493827,Piped Water,Open Defecation,Public Infrastructure,Female,Child,High,Refugee Camp,Sparse,Tropical,2016,Water.org,Gov Report,Disabled,Unsafe,brown,clear,chemical,no,farming,none,lush,none,yes,stagnant
82c9930a-6ddd-44f5-b0ce-a902917bd9c3,India,Space but offer herself expect light.,"According to joint analysis from stakeholders, groundwater levels have dropped significantly due to prolonged drought conditions. Infrastructure upgrades are necessary to ensure consistent clean water delivery.",11.9916025,Rainwater,Flush Toilet,Health,Female,Child,High,Rural Village,Medium,Temperate,2016,UNICEF,Field Survey,Disabled,Unsafe,brown,cloudy,chemical,no,farming,none,sparse,none,no,stagnant
4f930d53-48dc-4a03-b3f3-c168d6dd74e4,Ethiopia,Team campaign soon dark senior approach.,"In the most affected zones, chlorination units have not been functional for the past three months. Infrastructure upgrades are necessary to ensure consistent clean water delivery.",65.4850095,Well,Open Defecation,Education,Male,Child,High,Rural Village,Sparse,Arid,2017,WHO,NGO Report,None,Unsafe,murky,clear,chemical,yes,mining,none,sparse,none,yes,slow
13aa17c6-bd0d-4962-9a54-995de38b7a90,India,Scene second change.,"A comprehensive report issued by the agency noted that latrines are shared by over 50 individuals, creating sanitation bottlenecks. Local authorities are urged to scale up hygiene education campaigns.",48.5839205,Truck Delivery,Flush Toilet,Health,Male,Adult,Low,Rural Village,Dense,Semi-Arid,2019,UNICEF,NGO Report,None,Safe,clear,clear,none,no,none,none,lush,none,no,flowing
4a444dfc-b7b4-40fb-acdf-70b0829f8161,Uganda,Management step enter despite space project receive.,"According to recent field observations, untreated sewage has leaked into open water channels, raising contamination risks. Local authorities are urged to scale up hygiene education campaigns.",84.045473,River,Open Defecation,Agriculture,Male,Elderly,High,Rural Village,Dense,Temperate,2023,Water.org,NGO Report,Disabled,Unsafe,clear,clear,none,yes,sewage treatment,waste facilities,dead,open dumping,yes,slow
58211511-2f4a-4553-9b35-27f525ec339c,Bangladesh,Almost same our power more treatment according.,"A comprehensive report issued by the agency noted that untreated sewage has leaked into open water channels, raising contamination risks. Without immediate action, the risk to vulnerable groups remains elevated.",20.4543405,Well,Open Defecation,Health,Male,Youth,Middle,Peri-Urban,Medium,Arid,2024,Water.org,Field Survey,Disabled,Unsafe,green,turbid,chemical,no,mining,waste facilities,dead,open dumping,no,flowing
622292ab-8663-46e0-b10f-f1234e75d530,Ethiopia,Fact audience product small federal according alone.,Field workers have documented that waste management systems are severely underdeveloped in these settlements. Infrastructure upgrades are necessary to ensure consistent clean water delivery.,-0.1466405,Protected Spring,Flush Toilet,Education,Female,Youth,High,Refugee Camp,Sparse,Tropical,2016,Red Cross,Gov Report,Pregnant Women,Safe,clear,clear,none,no,none,none,lush,none,no,flowing
780af1b5-6a6e-4a57-a075-88aa0721e67b,Nigeria,Purpose level kitchen well step training.,The latest sanitation review indicated that efforts to distribute water purification tablets have been inconsistent and poorly coordinated. Local authorities are urged to scale up hygiene education campaigns.,-12.086111,Rainwater,Pit Latrine,Public Infrastructure,Female,Child,High,Urban Slum,Medium,Semi-Arid,2015,Red Cross,NGO Report,Children Under 5,Unsafe,green,cloudy,sewage,no,none,waste facilities,sparse,none,yes,slow
1210770c-d00a-4f90-baa8-306299c541d9,Bangladesh,Travel enough eye people specific.,"Field workers have documented that chlorination units have not been functional for the past three months. Without immediate action, the risk to vulnerable groups remains elevated.",-39.538155,Protected Spring,Flush Toilet,Education,Male,Child,High,Refugee Camp,Dense,Temperate,2021,WHO,NGO Report,Pregnant Women,Safe,clear,clear,none,no,none,none,lush,none,no,flowing
f2f2d365-d71f-49a2-83bc-1ab21158400e,Ethiopia,Program public recent indicate smile however trip fact.,"According to recent field observations, untreated sewage has leaked into open water channels, raising contamination risks. Local authorities are urged to scale up hygiene education campaigns.",27.8361965,Piped Water,Flush Toilet,Education,Male,Adult,Low,Refugee Camp,Sparse,Arid,2023,WHO,Field Survey,Disabled,Unsafe,brown,clear,chemical,yes,mining,sewage lines,dead,managed sites,yes,flowing
04493191-486d-481b-8b5c-4cf60b339dd4,Bangladesh,As other pull court by set forward.,"According to recent field observations, latrines are shared by over 50 individuals, creating sanitation bottlenecks. Resource allocation should prioritize rehabilitation of water systems and proper drainage.",-7.076979,River,Open Defecation,Health,Female,Child,High,Refugee Camp,Sparse,Arid,2019,Save the Children,Field Survey,Disabled,Unsafe,green,clear,chemical,yes,sewage treatment,waste facilities,dead,none,yes,slow
88bbac8e-0b00-43cc-b5ce-a984db325864,Bangladesh,Majority probably anyone.,"According to joint analysis from stakeholders, untreated sewage has leaked into open water channels, raising contamination risks. Resource allocation should prioritize rehabilitation of water systems and proper drainage.",58.7777795,River,Composting Toilet,Agriculture,Male,Child,Middle,Peri-Urban,Dense,Temperate,2015,Save the Children,Field Survey,Children Under 5,Safe,clear,clear,none,no,none,none,lush,none,no,flowing
bbf3d83f-cfe2-4a9e-ba15-12d118a1e3d0,Nepal,Despite must Congress shake apply as senior.,"A comprehensive report issued by the agency noted that access to potable water is limited to a few hours each day, with unreliable quality. Without immediate action, the risk to vulnerable groups remains elevated.",40.395084,Rainwater,Flush Toilet,Public Infrastructure,Male,Youth,Middle,Urban Slum,Sparse,Arid,2016,Red Cross,Gov Report,Pregnant Women,Safe,clear,clear,none,no,none,none,lush,none,no,flowing
220ceb82-fc02-4cec-8012-2664254a2483,Nigeria,Order music billion which grow.,"The latest sanitation review indicated that untreated sewage has leaked into open water channels, raising contamination risks. Without immediate action, the risk to vulnerable groups remains elevated.",59.427595,Well,Composting Toilet,Health,Female,Elderly,Middle,Urban Slum,Medium,Arid,2019,Red Cross,Academic Paper,Pregnant Women,Unsafe,clear,turbid,sewage,yes,none,sewage lines,dead,none,no,flowing
