country,source_title,excerpt,geo_location,water_source,sanitation_type,sector,gender,age_group,income_level,infrastructure_type,population_density,climate_zone,year,organization,source_type,special_needs_group,severity,water_color,water_clarity,water_odor,recent_rain,nearby_activities,nearby_infrastructure,vegetation_near_source,waste_disposal_nearby,animal_access,water_flow_rate
Haiti,Aid Workers Warn of Contamination Risks,Contaminated water sources have led to increased diarrheal diseases among children.,5.9371995,River,Open Defecation,Health,Female,Youth,High,Peri-Urban,Medium,Tropical,2023,Water.org,Gov Report,Children Under 5,Unsafe,clear,clear,chemical,no,farming,waste facilities,lush,managed sites,no,slow
Ethiopia,Red Cross Reports Severe Water Crisis,"Field reports indicate raw sewage mixes with local water, posing high health risks.",34.6152155,Borehole,Composting Toilet,Public Infrastructure,Male,Youth,High,Peri-Urban,Dense,Semi-Arid,2020,Save the Children,Field Survey,,Unsafe,murky,turbid,sewage,yes,farming,waste facilities,sparse,none,yes,stagnant
Nepal,Red Cross Reports Severe Water Crisis,No treatment observed; water smells foul and residents rely on unsafe open sources.,-68.3872445,Truck Delivery,Pit Latrine,Health,Female,Adult,Low,Urban Slum,Dense,Semi-Arid,2016,WHO,Gov Report,Elderly,Unsafe,green,clear,sewage,no,mining,waste facilities,dead,managed sites,yes,flowing
India,Outbreak Sparks Sanitation Review,Contaminated water sources have led to increased diarrheal diseases among children.,-71.814776,Rainwater,Composting Toilet,Education,Male,Elderly,High,Refugee Camp,Medium,Arid,2022,Red Cross,Academic Paper,Children Under 5,Unsafe,brown,turbid,sewage,no,mining,sewage lines,dead,managed sites,yes,slow
Kenya,Outbreak Sparks Sanitation Review,No treatment observed; water smells foul and residents rely on unsafe open sources.,-10.132914,Borehole,Composting Toilet,Public Infrastructure,Female,Youth,Low,Peri-Urban,Sparse,Tropical,2015,Red Cross,Academic Paper,Disabled,Unsafe,murky,cloudy,none,no,none,waste facilities,lush,open dumping,no,stagnant
Nigeria,Outbreak Sparks Sanitation Review,"Field reports indicate raw sewage mixes with local water, posing high health risks.",31.5586825,Borehole,Flush Toilet,Education,Male,Adult,High,Refugee Camp,Dense,Temperate,2017,Water.org,NGO Report,,Unsafe,green,clear,sewage,yes,none,none,dead,none,no,slow
Kenya,Outbreak Sparks Sanitation Review,No treatment observed; water smells foul and residents rely on unsafe open sources.,65.0745425,Truck Delivery,Composting Toilet,Education,Male,Child,High,Urban Slum,Sparse,Arid,2022,Red Cross,Academic Paper,Disabled,Unsafe,green,turbid,none,yes,sewage treatment,waste facilities,dead,open dumping,no,slow
India,Aid Workers Warn of Contamination Risks,No treatment observed; water smells foul and residents rely on unsafe open sources.,39.8694465,Well,Flush Toilet,Agriculture,Male,Elderly,Middle,Refugee Camp,Medium,Arid,2022,UNICEF,Field Survey,Elderly,Unsafe,clear,cloudy,none,no,mining,none,dead,managed sites,no,stagnant
Bangladesh,Aid Workers Warn of Contamination Risks,Contaminated water sources have led to increased diarrheal diseases among children.,-0.688263,Protected Spring,Open Defecation,Agriculture,Male,Youth,Low,Peri-Urban,Medium,Semi-Arid,2025,Water.org,Academic Paper,Disabled,Unsafe,green,turbid,chemical,no,farming,sewage lines,sparse,managed sites,yes,slow
India,Red Cross Reports Severe Water Crisis,No treatment observed; water smells foul and residents rely on unsafe open sources.,8.592403,Well,Flush Toilet,Public Infrastructure,Male,Elderly,Low,Rural Village,Sparse,Arid,2018,Red Cross,Gov Report,Pregnant Women,Unsafe,murky,turbid,chemical,no,none,waste facilities,sparse,none,no,slow
Nepal,UNICEF Field Report on Water Quality,Treated water systems have significantly reduced reported illnesses in the area.,-86.110949,Protected Spring,Flush Toilet,Education,Male,Youth,Low,Peri-Urban,Sparse,Arid,2016,UNICEF,Academic Paper,Children Under 5,Safe,clear,clear,none,no,none,none,lush,none,no,flowing
Ethiopia,Red Cross Reports Severe Water Crisis,Contaminated water sources have led to increased diarrheal diseases among children.,-67.023923,Protected Spring,Composting Toilet,Public Infrastructure,Female,Elderly,High,Refugee Camp,Medium,Temperate,2019,Water.org,Academic Paper,,Unsafe,brown,turbid,none,no,sewage treatment,none,sparse,none,yes,slow
India,Aid Workers Warn of Contamination Risks,Contaminated water sources have led to increased diarrheal diseases among children.,-3.525955,Borehole,Pit Latrine,Agriculture,Male,Elderly,Low,Urban Slum,Dense,Temperate,2025,Save the Children,NGO Report,Elderly,Unsafe,clear,cloudy,none,no,mining,sewage lines,dead,none,no,stagnant
Nepal,Red Cross Reports Severe Water Crisis,Contaminated water sources have led to increased diarrheal diseases among children.,51.5809505,Piped Water,Open Defecation,Education,Male,Youth,Middle,Refugee Camp,Sparse,Semi-Arid,2025,Red Cross,Academic Paper,Children Under 5,Unsafe,green,turbid,sewage,no,farming,waste facilities,sparse,open dumping,no,flowing
Kenya,Outbreak Sparks Sanitation Review,Contaminated water sources have led to increased diarrheal diseases among children.,28.217536,Well,Open Defecation,Health,Female,Adult,High,Refugee Camp,Medium,Temperate,2016,Save the Children,NGO Report,Elderly,Unsafe,murky,cloudy,chemical,no,farming,sewage lines,sparse,open dumping,yes,stagnant
DR Congo,Aid Workers Warn of Contamination Risks,Contaminated water sources have led to increased diarrheal diseases among children.,-82.371103,Rainwater,Open Defecation,Public Infrastructure,Female,Elderly,High,Refugee Camp,Sparse,Semi-Arid,2019,WHO,Academic Paper,Elderly,Unsafe,clear,clear,chemical,no,farming,waste facilities,lush,none,no,flowing
Nepal,Outbreak Sparks Sanitation Review,Contaminated water sources have led to increased diarrheal diseases among children.,-3.493827,Piped Water,Open Defecation,Public Infrastructure,Female,Child,High,Refugee Camp,Sparse,Tropical,2016,Water.org,Gov Report,Disabled,Unsafe,brown,clear,chemical,no,farming,none,lush,none,yes,stagnant
India,Outbreak Sparks Sanitation Review,No treatment observed; water smells foul and residents rely on unsafe open sources.,11.9916025,Rainwater,Flush Toilet,Health,Female,Child,High,Rural Village,Medium,Temperate,2016,UNICEF,Field Survey,Disabled,Unsafe,brown,cloudy,chemical,no,farming,none,sparse,none,no,stagnant
Ethiopia,Red Cross Reports Severe Water Crisis,No treatment observed; water smells foul and residents rely on unsafe open sources.,65.4850095,Well,Open Defecation,Education,Male,Child,High,Rural Village,Sparse,Arid,2017,WHO,NGO Report,,Unsafe,murky,clear,chemical,yes,mining,none,sparse,none,yes,slow
India,UNICEF Field Report on Water Quality,"Residents now report consistent access to clean, odorless, and safe water.",48.5839205,Truck Delivery,Flush Toilet,Health,Male,Adult,Low,Rural Village,Dense,Semi-Arid,2019,UNICEF,NGO Report,,Safe,clear,clear,none,no,none,none,lush,none,no,flowing
Uganda,Red Cross Reports Severe Water Crisis,No treatment observed; water smells foul and residents rely on unsafe open sources.,84.045473,River,Open Defecation,Agriculture,Male,Elderly,High,Rural Village,Dense,Temperate,2023,Water.org,NGO Report,Disabled,Unsafe,clear,clear,none,yes,sewage treatment,waste facilities,dead,open dumping,yes,slow
